drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
-r--r--r--  2 2        kmem           919 Apr 30  1984 include/sys.m68k
-r--r--r--  2 2        kmem           919 Apr 30  1984 include/sys.s == include/sys.m68k
-rw-rw-r--  1 2        kmem            68 Apr 30  1984 include/termio.h
-rw-rw-r--  1 2        kmem           363 Apr 30  1984 include/time.h
-rw-rw-r--  1 2        kmem           183 Apr 30  1984 include/tp_defs.h
-rw-rw-r--  1 2        kmem           215 Apr 30  1984 include/ustat.h
-rw-rw-r--  1 2        kmem          1415 Apr 30  1984 include/utmp.h
-rw-rw-r--  1 2        kmem          6034 Apr 30  1984 include/values.h
-rw-rw-r--  1 2        kmem           347 Apr 30  1984 include/varargs.h
-rw-rw-r--  1 2        kmem          1820 Apr 30  1984 include/x25lib.h
drwxrwxr-x 13 2        kmem             0 Apr 30  1984 lib
-rwsrwsr-x  1 _eppc    kmem         17288 Apr 30  1984 lib/accept
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/acct
-rwxrwxr-x  1 2        kmem         15548 Apr 30  1984 lib/acct/acctcms
-rwxrwxr-x  1 2        kmem         26032 Apr 30  1984 lib/acct/acctcon1
-rwxrwxr-x  1 2        kmem         10412 Apr 30  1984 lib/acct/acctcon2
-rwxrwxr-x  1 2        kmem         10256 Apr 30  1984 lib/acct/acctdisk
-rwxrwxr-x  1 2        kmem         17794 Apr 30  1984 lib/acct/acctdusg
-rwxrwxr-x  1 2        kmem         17694 Apr 30  1984 lib/acct/acctmerg
-rwsr-xr-x  1 root     tty          11894 Apr 30  1984 lib/acct/accton
-rwxrwxr-x  1 2        kmem         23598 Apr 30  1984 lib/acct/acctprc1
-rwxrwxr-x  1 2        kmem         17142 Apr 30  1984 lib/acct/acctprc2
-rwxrwxr-x  1 2        kmem         10824 Apr 30  1984 lib/acct/acctwtmp
-rwxrwxr-x  1 2        kmem           568 Apr 30  1984 lib/acct/chargefee
-rwxrwxr-x  1 2        kmem          1659 Apr 30  1984 lib/acct/ckpacct
-rwxrwxr-x  1 2        kmem           356 Apr 30  1984 lib/acct/dodisk
-rwxrwxr-x  1 2        kmem         17478 Apr 30  1984 lib/acct/fwtmp
-rw-r--r--  1 _uucp    tty            441 Apr 30  1984 lib/acct/holidays
-rwxrwxr-x  1 2        kmem          1569 Apr 30  1984 lib/acct/lastlogin
-rwxrwxr-x  1 2        kmem          1078 Apr 30  1984 lib/acct/monacct
-rwxrwxr-x  1 2        kmem           238 Apr 30  1984 lib/acct/nulladm
-rwxrwxr-x  1 2        kmem           268 Apr 30  1984 lib/acct/prctmp
-rwxrwxr-x  1 2        kmem           596 Apr 30  1984 lib/acct/prdaily
-rwxrwxr-x  1 2        kmem           385 Apr 30  1984 lib/acct/prtacct
-rwxrwxr-x  1 2        kmem           126 Apr 30  1984 lib/acct/remove
-rwxrwxr-x  1 2        kmem         12341 Apr 30  1984 lib/acct/runacct
-rwxrwxr-x  1 2        kmem           309 Apr 30  1984 lib/acct/shutacct
-rwxrwxr-x  1 2        kmem           250 Apr 30  1984 lib/acct/startup
-rwxrwxr-x  1 2        kmem           774 Apr 30  1984 lib/acct/turnacct
-rwxrwxr-x  1 2        kmem         16748 Apr 30  1984 lib/acct/wtmpfix
-rwxrwxr-x  1 2        kmem         15967 Apr 30  1984 lib/calprog
-rw-rw-r--  1 2        kmem          1070 Apr 30  1984 lib/crontab
-rwxrwxr-x  1 2        kmem         14134 Apr 30  1984 lib/dag
-rwxrwxr-x  1 2        kmem         15146 Apr 30  1984 lib/diff3prog
-rwxrwxr-x  1 2        kmem         14158 Apr 30  1984 lib/diffh
-rw-rw-r--  1 2        kmem           706 Apr 30  1984 lib/eign
-rwxrwxr-x  1 2        kmem         10950 Apr 30  1984 lib/errdemon
-rwxrwxr-x  1 2        kmem         16948 Apr 30  1984 lib/ex3.7preserve
-rwxrwxr-x  1 2        kmem         19220 Apr 30  1984 lib/ex3.7recover
-rw-rw-r--  1 2        kmem          6361 Apr 30  1984 lib/ex3.7strings
-rwxrwxr-x  1 2        kmem        202910 Apr 30  1984 lib/f77comp
-rwxrwxr-x  1 2        kmem         14123 Apr 30  1984 lib/flip
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/font
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftB
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftBC
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftC
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftCE
